Name, Total Kills, Headshot Percentage, Total Deaths, Kill/Death Ratio,Damage Per Round, Grenade Damage Per Round, Maps Played, Rounds Played, Kills Per Round, Assists Per Round,Deaths Per Round, Saved By Teamates Per Round, Saved Teamates Per Round, KAST, Impact, Rating 2.0
def,9243,41.8,10836,0.85,67.4,3.4,605,15797,0.59,0.14,0.69,0.11,0.08,69.0,0.85,0.86
djL,10263,47.3,11998,0.86,63.0,3.0,688,18180,0.56,0.12,0.66,0.10,0.08,69.2,0.80,0.91
Devilwalk,6122,51.3,7223,0.85,69.8,3.9,400,10494,0.58,0.16,0.69,0.12,0.08,66.8,0.91,0.86
Twista,5863,35.9,7012,0.84,67.4,5.1,380,9970,0.59,0.16,0.70,0.09,0.09,67.3,0.82,0.85
gob b,14445,48.5,17256,0.84,66.6,6.0,975,25707,0.56,0.13,0.67,0.10,0.08,68.3,0.84,0.85
Slemmy,6638,49.6,7951,0.83,63.7,3.2,445,11663,0.57,0.12,0.68,0.11,0.09,67.7,0.78,0.85
SolEk,5586,49.5,6871,0.81,60.9,2.6,377,9498,0.59,0.13,0.72,0.11,0.07,64.9,0.70,0.84
PASHANOJ,9147,53.5,11398,0.80,68.2,4.0,599,15675,0.58,0.13,0.73,0.10,0.07,64.6,0.91,0.90
B1ad3,13472,41.9,16880,0.80,66.5,2.6,899,23232,0.58,0.16,0.73,0.10,0.07,64.6,0.84,0.83
netrick,6740,48.2,8472,0.80,66.7,6.6,454,11952,0.56,0.14,0.71,0.11,0.09,66.3,0.85,0.82
HUNDEN,22470,48.7,28708,0.78,64.4,4.5,1578,41153,0.55,0.14,0.70,0.11,0.09,66.8,0.80,0.81
RuFire,5535,48.0,7448,0.74,66.5,4.7,381,10106,0.55,0.14,0.74,0.09,0.06,63.3,0.81,0.84
OCEAN,5530,44.3,7492,0.74,59.7,3.6,410,10602,0.52,0.12,0.71,0.09,0.08,64.3,0.72,0.77
